"date","close","volume","open","high","low"
"2016/11/11","754.0200","2421889.0000","756.5400","760.7800","750.3800"
"2016/11/10","762.5600","4733916.0000","791.1700","791.1700","752.1800"
"2016/11/09","785.3100","2603860.0000","779.9400","791.2265","771.6700"
"2016/11/08","790.5100","1361472.0000","783.4000","795.6330","780.1900"
"2016/11/07","782.5200","1574426.0000","774.5000","785.1900","772.5500"
"2016/11/04","762.0200","2131948.0000","750.6600","770.3600","750.5611"
"2016/11/03","762.1300","1933937.0000","767.2500","769.9500","759.0300"
"2016/11/02","768.7000","1905814.0000","778.2000","781.6500","763.4496"
"2016/11/01","783.6100","2404898.0000","782.8900","789.4900","775.5400"
"2016/10/31","784.5400","2420892.0000","795.4700","796.8600","784.0000"
"2016/10/28","795.3700","4261912.0000","808.3500","815.4900","793.5900"
"2016/10/27","795.3500","2723097.0000","801.0000","803.4900","791.5000"
"2016/10/26","799.0700","1645403.0000","806.3400","806.9800","796.3200"
"2016/10/25","807.6700","1575020.0000","816.6800","816.6800","805.1400"
"2016/10/24","813.1100","1693162.0000","804.9000","815.1800","804.8200"
"2016/10/21","799.3700","1262042.0000","795.0000","799.5000","794.0000"
"2016/10/20","796.9700","1755546.0000","803.3000","803.9700","796.0300"
"2016/10/19","801.5600","1762990.0000","798.8600","804.6300","797.6350"
"2016/10/18","795.2600","2046338.0000","787.8500","801.6100","785.5650"
"2016/10/17","779.9600","1091524.0000","779.8000","785.8500","777.5000"
"2016/10/14","778.5300","851512.0000","781.6500","783.9500","776.0000"
"2016/10/13","778.1900","1360619.0000","781.2200","781.2200","773.0000"
"2016/10/12","786.1400","935138.0000","783.7600","788.1300","782.0600"
"2016/10/11","783.0700","1371461.0000","786.6600","792.2800","780.5800"
"2016/10/10","785.9400","1161410.0000","777.7100","789.3800","775.8700"
"2016/10/07","775.0800","932444.0000","779.6600","779.6600","770.7500"
"2016/10/06","776.8600","1066910.0000","779.0000","780.4800","775.5400"
"2016/10/05","776.4700","1457661.0000","779.3100","782.0700","775.6500"
"2016/10/04","776.4300","1198361.0000","776.0300","778.7100","772.8900"
"2016/10/03","772.5600","1276614.0000","774.2500","776.0650","769.5000"
"2016/09/30","777.2900","1583293.0000","776.3300","780.9400","774.0900"
"2016/09/29","775.0100","1310252.0000","781.4400","785.8000","774.2320"
"2016/09/28","781.5600","1108249.0000","777.8500","781.8100","774.9700"
"2016/09/27","783.0100","1152760.0000","775.5000","785.9899","774.3080"
"2016/09/26","774.2100","1531788.0000","782.7400","782.7400","773.0700"
"2016/09/23","786.9000","1411439.0000","786.5900","788.9300","784.1500"
"2016/09/22","787.2100","1483899.0000","780.0000","789.8500","778.4400"
"2016/09/21","776.2200","1166290.0000","772.6600","777.1600","768.3010"
"2016/09/20","771.4100","975434.0000","769.0000","773.3300","768.5300"
"2016/09/19","765.7000","1171969.0000","772.4200","774.0000","764.4406"
"2016/09/16","768.8800","2047036.0000","769.7500","769.7500","764.6600"
"2016/09/15","771.7600","1344945.0000","762.8900","773.8000","759.9600"
"2016/09/14","762.4900","1093723.0000","759.6100","767.6800","759.1100"
"2016/09/13","759.6900","1394158.0000","764.4800","766.2195","755.8000"
"2016/09/12","769.0200","1310493.0000","755.1300","770.2900","754.0001"
"2016/09/09","759.6600","1879903.0000","770.1000","773.2450","759.6600"
"2016/09/08","775.3200","1268663.0000","778.5900","780.3500","773.5800"
"2016/09/07","780.3500","893874.0000","780.0000","782.7300","776.2000"
"2016/09/06","780.0800","1441864.0000","773.4500","782.0000","771.0000"
"2016/09/02","771.4600","1070725.0000","773.0100","773.9199","768.4100"
"2016/09/01","768.7800","925019.0000","769.2500","771.0200","764.3000"
"2016/08/31","767.0500","1247937.0000","767.0100","769.0900","765.3800"
"2016/08/30","769.0900","1129932.0000","769.3300","774.4660","766.8400"
"2016/08/29","772.1500","847537.0000","768.7400","774.9900","766.6150"
"2016/08/26","769.5400","1164713.0000","769.0000","776.0799","765.8500"
"2016/08/25","769.4100","926856.0000","767.0000","771.8900","763.1846"
"2016/08/24","769.6400","1071569.0000","770.5800","774.5000","767.0700"
"2016/08/23","772.0800","925356.0000","775.4800","776.4400","771.7850"
"2016/08/22","772.1500","950417.0000","773.2700","774.5400","770.0502"
"2016/08/19","775.4200","860899.0000","775.0000","777.1000","773.1300"
"2016/08/18","777.5000","718882.0000","780.0100","782.8600","777.0000"
"2016/08/17","779.9100","921666.0000","777.3200","780.8100","773.5300"
"2016/08/16","777.1400","1027836.0000","780.3000","780.9800","773.4440"
"2016/08/15","782.4400","938183.0000","783.7500","787.4900","780.1100"
"2016/08/12","783.2200","739761.0000","781.5000","783.3950","780.4000"
"2016/08/11","784.8500","971742.0000","785.0000","789.7500","782.9700"
"2016/08/10","784.6800","784559.0000","783.7500","786.8123","782.7780"
"2016/08/09","784.2600","1318457.0000","781.1000","788.9400","780.5700"
"2016/08/08","781.7600","1106693.0000","782.0000","782.6300","778.0910"
"2016/08/05","782.2200","1799478.0000","773.7800","783.0400","772.3400"
"2016/08/04","771.6100","1139972.0000","772.2200","774.0700","768.7950"
"2016/08/03","773.1800","1283186.0000","767.1800","773.2100","766.8200"
"2016/08/02","771.0700","1782822.0000","768.6900","775.8400","767.8500"
"2016/08/01","772.8800","2697699.0000","761.0900","780.4300","761.0900"
"2016/07/29","768.7900","3830103.0000","772.7100","778.5500","766.7700"
"2016/07/28","745.9100","3473040.0000","747.0400","748.6500","739.3000"
"2016/07/27","741.7700","1509133.0000","738.2800","744.4600","737.0000"
"2016/07/26","738.4200","1182993.0000","739.0400","741.6900","734.2700"
"2016/07/25","739.7700","1031643.0000","740.6700","742.6100","737.5000"
"2016/07/22","742.7400","1256741.0000","741.8600","743.2400","736.5600"
"2016/07/21","738.6300","1022229.0000","740.3600","741.6900","735.8310"
"2016/07/20","741.1900","1283931.0000","737.3300","742.1300","737.1000"
"2016/07/19","736.9600","1225467.0000","729.8900","736.9900","729.0000"
"2016/07/18","733.7800","1284740.0000","722.7100","736.1300","721.1900"
"2016/07/15","719.8500","1277514.0000","725.7300","725.7400","719.0550"
"2016/07/14","720.9500","949456.0000","721.5800","722.2100","718.0300"
"2016/07/13","716.9800","933352.0000","723.6200","724.0000","716.8500"
"2016/07/12","720.6400","1336112.0000","719.1200","722.9400","715.9100"
"2016/07/11","715.0900","1107039.0000","708.0500","716.5100","707.2400"
"2016/07/08","705.6300","1573909.0000","699.5000","705.7100","696.4350"
"2016/07/07","695.3600","1303661.0000","698.0800","698.2000","688.2150"
"2016/07/06","697.7700","1411080.0000","689.9800","701.6800","689.0900"
"2016/07/05","694.4900","1462879.0000","696.0600","696.9400","688.8800"
"2016/07/01","699.2100","1344387.0000","692.2000","700.6500","692.1301"
"2016/06/30","692.1000","1597298.0000","685.4700","692.3200","683.6500"
"2016/06/29","684.1100","1931436.0000","683.0000","687.4292","681.4100"
"2016/06/28","680.0400","2169704.0000","678.9700","680.3300","673.0000"
"2016/06/27","668.2600","2632011.0000","671.0000","672.3000","663.2840"
"2016/06/24","675.2200","4442943.0000","675.1700","689.4000","673.4500"
"2016/06/23","701.8700","2166183.0000","697.4500","701.9500","687.0000"
"2016/06/22","697.4600","1182161.0000","699.0600","700.8600","693.0819"
"2016/06/21","695.9400","1464836.0000","698.4000","702.7700","692.0100"
"2016/06/20","693.7100","2080645.0000","698.7700","702.4800","693.4100"
"2016/06/17","691.7200","3397720.0000","708.6500","708.8200","688.4515"
"2016/06/16","710.3600","1981657.0000","714.9100","716.6500","703.2600"
"2016/06/15","718.9200","1213386.0000","719.0000","722.9800","717.3100"
"2016/06/14","718.2700","1303808.0000","716.4800","722.4700","713.1200"
"2016/06/13","718.3600","1255199.0000","716.5100","725.4400","716.5100"
"2016/06/10","719.4100","1213989.0000","719.4700","725.8900","716.4300"
"2016/06/09","728.5800","987635.0000","722.8700","729.5400","722.3361"
"2016/06/08","728.2800","1583325.0000","723.9600","728.5700","720.5800"
"2016/06/07","716.6500","1336348.0000","719.8400","721.9800","716.5500"
"2016/06/06","716.5500","1565955.0000","724.9100","724.9100","714.6100"
"2016/06/03","722.3400","1225924.0000","729.2700","729.4900","720.5600"
